index,referencia,titulo_anuncio,estado_casa,departamento,ubicacion,nro_habitaciones,nro_baño,m2_terreno,nro_plantas,m2_edificados,nro_garajes,precio_venta,antiguedad
1019,SFBE5A,EN VENTA CASA DE 3 DORM (1SUITE) CON CHURRASQUERA EN EL REMANSO,Excelente estado,Santa Cruz,Urbanizacion Riviera del Remanzo II_ Norte_ Santa Cruz,3.0,2,300.0,1.0,178870.0,1.0,115000.0,
1020,V70622,CASA A ESTRENAR EN CONDOMINIO SACABA,A estrenar,Cochabamba,Sacaba_ Cochabamba,4.0,3,114.0,3.0,130.0,2.0,89000.0,2.0
1021,Q6742F,casa en venta zona av pirai 5to y 6to anillo,Requiere mantenimiento,Santa Cruz,barrio jardin latino_ Oeste_ Santa Cruz,3.0,2,360.0,1.0,135.0,3.0,116000.0,15.0
1022,DC9926,Casa de 3 Dormitorios en Condominio Barceló (Av. Banzer y km 9.5),Excelente estado,Santa Cruz,Av. Banzer y km 9.5_ Remanso_ Santa Cruz,3.0,3,396.0,2.0,337.0,2.0,210000.0,10.0
1025,I4CCD2,"Z/ Norte entrando km 9.5, Hermosa casa 232m2 const, a fuera de condominio.",A estrenar,Santa Cruz,Km 9.5 al norte_ Norte_ Santa Cruz,3.0,3,300.0,2.0,232.0,1.0,125000.0,1.0
1026,Q6927A,CHIQUICOLLO-HERMOSA CASA EN VENTA EN CONDOMINIO,Excelente estado,Cochabamba,calle Tucuypaj_ en la Zona de Chiquicollo_ Tiquipaya_ Cochabamba,4.0,3,389.0,3.0,458.0,2.0,222000.0,5.0
1027,PB8520,CASA DE 4 DORM - COND. FONTANA FAMILY CLUB,Excelente estado,Santa Cruz,KM 9 AL NORTE_ AV INTERNACIONAL_ Norte_ Santa Cruz,4.0,2,231.0,1.0,125.0,1.0,100000.0,6.0
1028,C97EAD,Urubo casa de Oportunidad,Excelente estado,Santa Cruz,Urubo _ Urubó_ Santa Cruz,3.0,3,250.0,2.0,200.0,3.0,137000.0,3.0
1029,Y720EB,HEERMOSA CASA EN VENTA A ESTRENAR - ZONA NORTE,A estrenar,Santa Cruz,km 8_5_ Norte_ Santa Cruz,2.0,2,75.0,1.0,180.0,2.0,54000.0,
1030,C54DD,Hermosa casa para estrenar,A estrenar,La Paz,Urb. Sierra Blanca_ casa No.9_ Lomas de Achumani_ La Paz,4.0,3,300.0,2.0,200.0,2.0,205000.0,5.0
1031,5C5B7,"CASA A ESTRENAR en Cond. Palma Dorada Av. Pirai, 6to anillo.",A estrenar,Santa Cruz,Av. Pirai_ 6to anillo. Entre 6to y 7mo anillo _ Oeste_ Santa Cruz,3.0,3,150.0,2.0,148.0,2.0,125000.0,6.0
1032,23413,Propiedad a estrenar,A estrenar,Cochabamba,Sacaba_ Cochabamba,5.0,3,333.0,,100.0,,140000.0,
1033,E605E,Hermosa casa en venta en condominio Sevilla Norte 1,Excelente estado,Santa Cruz,carretera norte_ avenida Milton Parra por la univeridad Catolica_ Norte_ Santa Cruz,3.0,3,409.0,1.0,113.0,1.0,98000.0,
1034,11DDF,"CASA EN VENTA ZONA SUR ALTO IRPAVI CALLE 9 A UNA CASA DE AV. PRINCIPAL ,UBICACION CÉNTRICA APTA PARA NEGOCIO ,RESTAURAN ,ETC. SUPERFICIE DE 300 M2 .DOCUMENTOS EN ORDEN . TODOS LOS SERVICIOS . REF = 71930875 — 79112817",Buen estado,La Paz,Alto Irpavi_ La Paz,4.0,1,300.0,,110.0,,120000.0,
1035,14C65,"Casa a estrenar Condominio ""La Fontana Family Club""",A estrenar,Santa Cruz,Zona Norte_ Km 9_ Condominio La Fontana Family Club_ Norte_ Santa Cruz,3.0,2,252.0,1.0,116.0,1.0,85000.0,9.0
1036,1C251,HERMOSA CASA EN VENTA,A estrenar,Cochabamba,CHILLIMARCA TIQUIPAYA_ Tiquipaya_ Cochabamba,3.0,3,200.0,3.0,210.0,1.0,122000.0,7.0
1037,F628C,Daniel Leon,Excelente estado,Cochabamba,AV CHILIMARCA_ Tiquipaya_ Cochabamba,4.0,3,378.0,2.0,310.0,3.0,210000.0,6.0
1038,4D445,Casa Bonita Unifamiliar,Buen estado,Santa Cruz,Sur_ Santa Cruz,3.0,2,238.0,,125.0,,120000.0,
1039,B6614,POR MOTIVO DE VIAJE,Buen estado,La Paz,ZONA SANTA ROSA DISTRITO 1 CIUDAD DE EL ALTO_ Ciudad Satélite_ El alto,,1,500.0,1.0,,1.0,150000.0,
1040,24431,EN VENTA Casa Av.Circunvalacion,A estrenar,Cochabamba,Av. Circunvalacion Este_ Sacaba_ Cochabamba,4.0,3,225.0,3.0,270.0,2.0,170000.0,5.0
1041,644EF,Venta de casa nueva en la urbanización el Remanso,Excelente estado,Santa Cruz,Urbanizacion El Remanso_ Octavo anillo_ Av. Banzer_ Remanso_ Santa Cruz,3.0,3,300.0,1.0,240.0,3.0,125000.0,6.0
1042,6873B,En VENTA hermosa casa a estrenar 200 mts2 $us 135.000,A estrenar,Santa Cruz,Av. Banzer entre 2do y 3er anillo_ Norte_ Santa Cruz,4.0,2,200.0,1.0,170.0,1.0,135000.0,
1043,6219C,Casa en Venta - La Paz,Excelente estado,La Paz,Calle 2 de Febrero_ entre calles 6 y 7 de Mallasa_ Nro 200_ Mallasa_ La Paz,3.0,3,178.0,2.0,300.0,2.0,190000.0,10.0
1044,17E58,"Urbanización San Jorge, haz tu reserva ya con el 10%",A estrenar,Santa Cruz,avenida G-77 y Beni a la altura del noveno anillo interno_ 5 cuadras próxima carretera a Warnes_ Norte_ Santa Cruz,3.0,2,258.0,1.0,110.0,2.0,67500.0,5.0
1046,A69AD,"Casa Condominio Dalí, 3 dorm.,a/c, área social, piscina. Cel 76051071",Excelente estado,Santa Cruz,casa nro 35 Condominio Dalí. cel *** _ Remanso_ Santa Cruz,3.0,3,250.0,1.0,150.0,2.0,115000.0,9.0
1047,7BC18,Casa equipada,Excelente estado,Santa Cruz,Sur_ Santa Cruz,4.0,3,300.0,1.0,165.0,,108000.0,
1048,cE423,Casa zona URUBO trejo 1.100 Mts2 135.000 $us.,Buen estado,Santa Cruz,Urubó_ Santa Cruz,3.0,2,1100.0,,300.0,,135000.0,
